令和３年経済センサス‐活動調査　事業所に関する集計－産業横断的集計－事業所数、従業者数,,,,,,,,,
第６－１表　産業(中分類)別民営事業所数、男女別従業者数、常用雇用者数、出向・派遣従業者数及び事業従事者数－全国、都道府県、市区町村,,,,,,,,,
,,,,,,,,,
1) 「従業者数_男女計」など、男女計の人数には男女の別「不詳」を含む,,,,,,,,,
2) 他からの出向・派遣従業者数：出向・派遣の別「不詳」を含む,,,,,,,,,
3) 事業従事者数＝「従業者数」－「うち他への出向・派遣従業者数」＋「他からの出向・派遣従業者数」,,,,,,,,,
,,,,,事業所数,従業者数_男女計,従業者数_男,従業者数_女,従業者数_うち常用雇用者_男女計
,,,,,(事業所),(人),(人),(人),(人)
地域識別コード,地域区分,階層,産業大分類,産業中分類, ,,,,
2,37204_善通寺市,4,E,12_木材・木製品製造業（家具を除く）,1,3,2,1,2
2,37204_善通寺市,4,E,13_家具・装備品製造業,5,36,24,12,28
2,37204_善通寺市,4,E,14_パルプ・紙・紙加工品製造業,3,120,102,18,117
2,37204_善通寺市,4,E,15_印刷・同関連業,2,4,3,1,-
2,37204_善通寺市,4,E,16_化学工業,-,-,-,-,-
2,37204_善通寺市,4,E,17_石油製品・石炭製品製造業,-,-,-,-,-
2,37204_善通寺市,4,E,18_プラスチック製品製造業（別掲を除く）,11,347,270,77,336
2,37204_善通寺市,4,E,19_ゴム製品製造業,-,-,-,-,-
2,37204_善通寺市,4,E,20_なめし革・同製品・毛皮製造業,-,-,-,-,-
2,37204_善通寺市,4,E,21_窯業・土石製品製造業,5,49,33,16,42
2,37204_善通寺市,4,E,22_鉄鋼業,-,-,-,-,-
2,37204_善通寺市,4,E,23_非鉄金属製造業,-,-,-,-,-
2,37204_善通寺市,4,E,24_金属製品製造業,16,130,74,56,97
2,37204_善通寺市,4,E,25_はん用機械器具製造業,1,3,2,1,1
2,37204_善通寺市,4,E,26_生産用機械器具製造業,2,9,7,2,5
2,37204_善通寺市,4,E,27_業務用機械器具製造業,-,-,-,-,-
2,37204_善通寺市,4,E,28_電子部品・デバイス・電子回路製造業,1,2,1,1,-
2,37204_善通寺市,4,E,29_電気機械器具製造業,2,370,337,33,362
2,37204_善通寺市,4,E,30_情報通信機械器具製造業,-,-,-,-,-
2,37204_善通寺市,4,E,31_輸送用機械器具製造業,4,14,14,-,12
2,37204_善通寺市,4,E,32_その他の製造業,9,64,51,13,53
2,37204_善通寺市,2,F,F_電気・ガス・熱供給・水道業,1,1,-,1,1
2,37204_善通寺市,4,F,33_電気業,1,1,-,1,1
2,37204_善通寺市,4,F,34_ガス業,-,-,-,-,-
2,37204_善通寺市,4,F,35_熱供給業,-,-,-,-,-
2,37204_善通寺市,4,F,36_水道業,-,-,-,-,-
2,37204_善通寺市,2,G,G_情報通信業,3,19,14,5,12
2,37204_善通寺市,3,G1,G1_情報通信業（通信業，放送業，映像・音声・文字情報制作業）,1,10,9,1,8
2,37204_善通寺市,4,G1,37_通信業,-,-,-,-,-
2,37204_善通寺市,4,G1,38_放送業,-,-,-,-,-
2,37204_善通寺市,4,G1,41_映像・音声・文字情報制作業,1,10,9,1,8
2,37204_善通寺市,3,G2,G2_情報通信業（情報サービス業，インターネット附随サービス業）,2,9,5,4,4
2,37204_善通寺市,4,G2,39_情報サービス業,2,9,5,4,4
2,37204_善通寺市,4,G2,40_インターネット附随サービス業,-,-,-,-,-
2,37204_善通寺市,2,H,H_運輸業，郵便業,32,663,559,104,628
2,37204_善通寺市,4,H,42_鉄道業,-,-,-,-,-
2,37204_善通寺市,4,H,43_道路旅客運送業,6,55,42,13,47
2,37204_善通寺市,4,H,44_道路貨物運送業,19,508,426,82,484
2,37204_善通寺市,4,H,45_水運業,-,-,-,-,-
2,37204_善通寺市,4,H,46_航空運輸業,-,-,-,-,-
2,37204_善通寺市,4,H,47_倉庫業,-,-,-,-,-
2,37204_善通寺市,4,H,48_運輸に附帯するサービス業,7,100,91,9,97
2,37204_善通寺市,4,H,49_郵便業（信書便事業を含む）,-,-,-,-,-
2,37204_善通寺市,2,I,I_卸売業，小売業,325,"2,656","1,411","1,245","2,321"
2,37204_善通寺市,3,I1,I1_卸売業,66,529,355,174,464
2,37204_善通寺市,4,I1,50_各種商品卸売業,-,-,-,-,-
2,37204_善通寺市,4,I1,51_繊維・衣服等卸売業,3,12,3,9,7
2,37204_善通寺市,4,I1,52_飲食料品卸売業,12,108,59,49,94
2,37204_善通寺市,4,I1,53_建築材料，鉱物・金属材料等卸売業,10,97,70,27,79
2,37204_善通寺市,4,I1,54_機械器具卸売業,22,173,136,37,155
2,37204_善通寺市,4,I1,55_その他の卸売業,19,139,87,52,129
2,37204_善通寺市,3,I2,I2_小売業,259,"2,127","1,056","1,071","1,857"
2,37204_善通寺市,4,I2,56_各種商品小売業,2,143,58,85,142
2,37204_善通寺市,4,I2,57_織物・衣服・身の回り品小売業,33,85,29,56,44
2,37204_善通寺市,4,I2,58_飲食料品小売業,67,956,438,518,885
2,37204_善通寺市,4,I2,59_機械器具小売業,45,283,204,79,231
2,37204_善通寺市,4,I2,60_その他の小売業,102,537,264,273,437
2,37204_善通寺市,4,I2,61_無店舗小売業,10,123,63,60,118
2,37204_善通寺市,2,J,J_金融業，保険業,21,209,66,143,201
2,37204_善通寺市,4,J,62_銀行業,4,58,20,38,58
2,37204_善通寺市,4,J,63_協同組織金融業,2,11,7,4,11
2,37204_善通寺市,4,J,64_貸金業，クレジットカード業等非預金信用機関,-,-,-,-,-
2,37204_善通寺市,4,J,65_金融商品取引業，商品先物取引業,2,9,7,2,8
2,37204_善通寺市,4,J,66_補助的金融業等,-,-,-,-,-
2,37204_善通寺市,4,J,67_保険業（保険媒介代理業，保険サービス業を含む）,13,131,32,99,124
2,37204_善通寺市,2,K,K_不動産業，物品賃貸業,95,234,117,117,120
2,37204_善通寺市,3,K1,K1_不動産業,88,187,89,98,77
2,37204_善通寺市,4,K1,68_不動産取引業,10,14,8,6,6
2,37204_善通寺市,4,K1,69_不動産賃貸業・管理業,78,173,81,92,71
2,37204_善通寺市,3,K2,K2_物品賃貸業,7,47,28,19,43
2,37204_善通寺市,4,K2,70_物品賃貸業,7,47,28,19,43
2,37204_善通寺市,2,L,L_学術研究，専門・技術サービス業,55,219,132,87,150
2,37204_善通寺市,4,L,71_学術・開発研究機関,1,44,30,14,44
2,37204_善通寺市,4,L,72_専門サービス業（他に分類されないもの）,28,68,39,29,35
2,37204_善通寺市,4,L,73_広告業,1,2,2,-,-
2,37204_善通寺市,4,L,74_技術サービス業（他に分類されないもの）,25,105,61,44,71
2,37204_善通寺市,2,M,M_宿泊業，飲食サービス業,182,996,404,566,780
2,37204_善通寺市,3,M1,M1_宿泊業,13,138,26,112,120
2,37204_善通寺市,4,M1,75_宿泊業,13,138,26,112,120
2,37204_善通寺市,3,M2,M2_飲食店，持ち帰り・配達飲食サービス業,169,858,378,454,660
2,37204_善通寺市,4,M2,76_飲食店,155,725,300,399,536
2,37204_善通寺市,4,M2,77_持ち帰り・配達飲食サービス業,14,133,78,55,124
2,37204_善通寺市,2,N,N_生活関連サービス業，娯楽業,127,387,145,242,266
2,37204_善通寺市,4,N,78_洗濯・理容・美容・浴場業,101,203,51,152,99
2,37204_善通寺市,4,N,79_その他の生活関連サービス業,10,53,27,26,43
2,37204_善通寺市,4,N,80_娯楽業,16,131,67,64,124
2,37204_善通寺市,2,O,O_教育，学習支援業,46,476,228,248,418
2,37204_善通寺市,3,O1,O1_教育，学習支援業（学校教育）,7,377,195,182,363
2,37204_善通寺市,4,O1,81_学校教育,7,377,195,182,363
2,37204_善通寺市,3,O2,O2_教育，学習支援業（その他の教育，学習支援業）,39,99,33,66,55
2,37204_善通寺市,4,O2,82_その他の教育，学習支援業,39,99,33,66,55
2,37204_善通寺市,2,P,P_医療，福祉,130,"2,909",665,"2,244","2,766"
2,37204_善通寺市,4,P,83_医療業,74,"1,925",429,"1,496","1,808"
2,37204_善通寺市,4,P,84_保健衛生,2,110,37,73,106
2,37204_善通寺市,4,P,85_社会保険・社会福祉・介護事業,54,874,199,675,852
2,37204_善通寺市,2,Q,Q_複合サービス事業,16,162,95,67,162
2,37204_善通寺市,3,Q1,Q1_複合サービス事業（郵便局）,9,92,67,25,92
2,37204_善通寺市,4,Q1,86_郵便局,9,92,67,25,92
2,37204_善通寺市,3,Q2,Q2_複合サービス事業（協同組合）,7,70,28,42,70
2,37204_善通寺市,4,Q2,87_協同組合（他に分類されないもの）,7,70,28,42,70
2,37204_善通寺市,2,R,R_サービス業（他に分類されないもの）,119,669,361,308,535
2,37204_善通寺市,3,R1,R1_サービス業（政治・経済・文化団体，宗教）,55,220,111,109,166
2,37204_善通寺市,4,R1,93_政治・経済・文化団体,15,36,13,23,33
2,37204_善通寺市,4,R1,94_宗教,40,184,98,86,133
2,37204_善通寺市,3,R2,R2_サービス業（政治・経済・文化団体，宗教を除く）,64,449,250,199,369
2,37204_善通寺市,4,R2,88_廃棄物処理業,4,15,14,1,12
2,37204_善通寺市,4,R2,89_自動車整備業,24,93,69,24,57
2,37204_善通寺市,4,R2,90_機械等修理業（別掲を除く）,10,21,16,5,8
2,37204_善通寺市,4,R2,91_職業紹介・労働者派遣業,9,39,25,14,33
2,37204_善通寺市,4,R2,92_その他の事業サービス業,17,281,126,155,259
2,37204_善通寺市,4,R2,95_その他のサービス業,-,-,-,-,-
2,37205_観音寺市,1,AR,AR_全産業（S_公務を除く）,"2,766","26,244","13,870","12,343","22,449"
2,37205_観音寺市,1,AB,AB_農林漁業,62,537,290,247,456
2,37205_観音寺市,2,A,A_農業，林業,62,537,290,247,456
2,37205_観音寺市,4,A,01_農業,60,535,288,247,455
2,37205_観音寺市,4,A,02_林業,2,2,2,-,1
2,37205_観音寺市,2,B,B_漁業,-,-,-,-,-
2,37205_観音寺市,4,B,03_漁業（水産養殖業を除く）,-,-,-,-,-
2,37205_観音寺市,4,B,04_水産養殖業,-,-,-,-,-
2,37205_観音寺市,1,CR,CR_非農林漁業（S_公務を除く）,"2,704","25,707","13,580","12,096","21,993"
2,37205_観音寺市,2,C,C_鉱業，採石業，砂利採取業,-,-,-,-,-
2,37205_観音寺市,4,C,05_鉱業，採石業，砂利採取業,-,-,-,-,-
2,37205_観音寺市,2,D,D_建設業,224,"1,403","1,114",284,979
2,37205_観音寺市,4,D,06_総合工事業,123,850,668,177,597
2,37205_観音寺市,4,D,07_職別工事業（設備工事業を除く）,47,171,137,34,107
2,37205_観音寺市,4,D,08_設備工事業,54,382,309,73,275
2,37205_観音寺市,2,E,E_製造業,342,"7,863","4,586","3,277","7,278"
2,37205_観音寺市,4,E,09_食料品製造業,102,"1,604",678,926,"1,394"
2,37205_観音寺市,4,E,10_飲料・たばこ・飼料製造業,3,27,21,6,22
2,37205_観音寺市,4,E,11_繊維工業,31,607,294,313,564
2,37205_観音寺市,4,E,12_木材・木製品製造業（家具を除く）,9,28,17,11,18
2,37205_観音寺市,4,E,13_家具・装備品製造業,8,55,44,11,37
2,37205_観音寺市,4,E,14_パルプ・紙・紙加工品製造業,32,"1,499",967,532,"1,467"
2,37205_観音寺市,4,E,15_印刷・同関連業,18,569,409,160,535
2,37205_観音寺市,4,E,16_化学工業,9,"1,297",618,679,"1,282"
2,37205_観音寺市,4,E,17_石油製品・石炭製品製造業,-,-,-,-,-
2,37205_観音寺市,4,E,18_プラスチック製品製造業（別掲を除く）,16,201,99,102,178
2,37205_観音寺市,4,E,19_ゴム製品製造業,3,42,28,14,31
2,37205_観音寺市,4,E,20_なめし革・同製品・毛皮製造業,-,-,-,-,-
2,37205_観音寺市,4,E,21_窯業・土石製品製造業,17,544,468,76,522
2,37205_観音寺市,4,E,22_鉄鋼業,4,67,55,12,58
2,37205_観音寺市,4,E,23_非鉄金属製造業,1,4,3,1,4
2,37205_観音寺市,4,E,24_金属製品製造業,28,221,176,45,161
2,37205_観音寺市,4,E,25_はん用機械器具製造業,11,273,215,58,258
2,37205_観音寺市,4,E,26_生産用機械器具製造業,19,143,107,36,113
2,37205_観音寺市,4,E,27_業務用機械器具製造業,-,-,-,-,-
2,37205_観音寺市,4,E,28_電子部品・デバイス・電子回路製造業,4,506,274,232,503
2,37205_観音寺市,4,E,29_電気機械器具製造業,6,68,41,27,52
2,37205_観音寺市,4,E,30_情報通信機械器具製造業,-,-,-,-,-
2,37205_観音寺市,4,E,31_輸送用機械器具製造業,3,22,21,1,18
2,37205_観音寺市,4,E,32_その他の製造業,18,86,51,35,61
2,37205_観音寺市,2,F,F_電気・ガス・熱供給・水道業,23,87,71,16,61
2,37205_観音寺市,4,F,33_電気業,20,57,44,13,31
2,37205_観音寺市,4,F,34_ガス業,-,-,-,-,-
2,37205_観音寺市,4,F,35_熱供給業,-,-,-,-,-
2,37205_観音寺市,4,F,36_水道業,3,30,27,3,30
2,37205_観音寺市,2,G,G_情報通信業,12,50,29,21,38
2,37205_観音寺市,3,G1,G1_情報通信業（通信業，放送業，映像・音声・文字情報制作業）,5,25,19,6,20
2,37205_観音寺市,4,G1,37_通信業,-,-,-,-,-
2,37205_観音寺市,4,G1,38_放送業,1,20,16,4,16
2,37205_観音寺市,4,G1,41_映像・音声・文字情報制作業,4,5,3,2,4
2,37205_観音寺市,3,G2,G2_情報通信業（情報サービス業，インターネット附随サービス業）,7,25,10,15,18
2,37205_観音寺市,4,G2,39_情報サービス業,7,25,10,15,18
2,37205_観音寺市,4,G2,40_インターネット附随サービス業,-,-,-,-,-
2,37205_観音寺市,2,H,H_運輸業，郵便業,71,"1,624","1,264",360,"1,534"
2,37205_観音寺市,4,H,42_鉄道業,2,30,26,4,29
2,37205_観音寺市,4,H,43_道路旅客運送業,8,110,88,22,101
2,37205_観音寺市,4,H,44_道路貨物運送業,47,"1,289","1,053",236,"1,231"
2,37205_観音寺市,4,H,45_水運業,2,12,9,3,7
2,37205_観音寺市,4,H,46_航空運輸業,-,-,-,-,-
2,37205_観音寺市,4,H,47_倉庫業,7,66,57,9,52
2,37205_観音寺市,4,H,48_運輸に附帯するサービス業,5,117,31,86,114
2,37205_観音寺市,4,H,49_郵便業（信書便事業を含む）,-,-,-,-,-
2,37205_観音寺市,2,I,I_卸売業，小売業,777,"5,201","2,668","2,533","4,254"
2,37205_観音寺市,3,I1,I1_卸売業,197,"1,587","1,073",514,"1,332"
2,37205_観音寺市,4,I1,50_各種商品卸売業,1,6,4,2,3
2,37205_観音寺市,4,I1,51_繊維・衣服等卸売業,2,2,1,1,-
2,37205_観音寺市,4,I1,52_飲食料品卸売業,57,548,384,164,460
2,37205_観音寺市,4,I1,53_建築材料，鉱物・金属材料等卸売業,54,368,266,102,299
2,37205_観音寺市,4,I1,54_機械器具卸売業,41,324,231,93,277
2,37205_観音寺市,4,I1,55_その他の卸売業,41,337,186,151,291
2,37205_観音寺市,3,I2,I2_小売業,580,"3,614","1,595","2,019","2,922"
2,37205_観音寺市,4,I2,56_各種商品小売業,3,18,-,18,15
2,37205_観音寺市,4,I2,57_織物・衣服・身の回り品小売業,60,186,51,135,111
2,37205_観音寺市,4,I2,58_飲食料品小売業,155,"1,511",523,988,"1,313"
2,37205_観音寺市,4,I2,59_機械器具小売業,103,521,362,159,392
2,37205_観音寺市,4,I2,60_その他の小売業,235,"1,255",595,660,999
2,37205_観音寺市,4,I2,61_無店舗小売業,24,123,64,59,92
2,37205_観音寺市,2,J,J_金融業，保険業,52,569,212,357,537
2,37205_観音寺市,4,J,62_銀行業,9,129,52,77,129
2,37205_観音寺市,4,J,63_協同組織金融業,10,107,61,46,101
2,37205_観音寺市,4,J,64_貸金業，クレジットカード業等非預金信用機関,1,1,1,-,1
2,37205_観音寺市,4,J,65_金融商品取引業，商品先物取引業,3,36,29,7,31
2,37205_観音寺市,4,J,66_補助的金融業等,-,-,-,-,-
2,37205_観音寺市,4,J,67_保険業（保険媒介代理業，保険サービス業を含む）,29,296,69,227,275
2,37205_観音寺市,2,K,K_不動産業，物品賃貸業,115,342,195,147,160
2,37205_観音寺市,3,K1,K1_不動産業,100,244,137,107,82
2,37205_観音寺市,4,K1,68_不動産取引業,23,62,41,21,21
2,37205_観音寺市,4,K1,69_不動産賃貸業・管理業,77,182,96,86,61
2,37205_観音寺市,3,K2,K2_物品賃貸業,15,98,58,40,78
2,37205_観音寺市,4,K2,70_物品賃貸業,15,98,58,40,78
2,37205_観音寺市,2,L,L_学術研究，専門・技術サービス業,100,980,583,397,855
2,37205_観音寺市,4,L,71_学術・開発研究機関,1,565,353,212,564
2,37205_観音寺市,4,L,72_専門サービス業（他に分類されないもの）,47,134,65,69,76
2,37205_観音寺市,4,L,73_広告業,5,20,6,14,15
2,37205_観音寺市,4,L,74_技術サービス業（他に分類されないもの）,47,261,159,102,200
2,37205_観音寺市,2,M,M_宿泊業，飲食サービス業,262,"1,649",657,966,"1,265"
2,37205_観音寺市,3,M1,M1_宿泊業,19,184,74,110,148
2,37205_観音寺市,4,M1,75_宿泊業,19,184,74,110,148
2,37205_観音寺市,3,M2,M2_飲食店，持ち帰り・配達飲食サービス業,243,"1,465",583,856,"1,117"
2,37205_観音寺市,4,M2,76_飲食店,214,"1,210",489,695,886
2,37205_観音寺市,4,M2,77_持ち帰り・配達飲食サービス業,29,255,94,161,231
2,37205_観音寺市,2,N,N_生活関連サービス業，娯楽業,252,817,312,505,522
2,37205_観音寺市,4,N,78_洗濯・理容・美容・浴場業,210,588,218,370,328
2,37205_観音寺市,4,N,79_その他の生活関連サービス業,24,90,43,47,70
2,37205_観音寺市,4,N,80_娯楽業,18,139,51,88,124
2,37205_観音寺市,2,O,O_教育，学習支援業,83,482,179,303,357
2,37205_観音寺市,3,O1,O1_教育，学習支援業（学校教育）,5,159,6,153,129
2,37205_観音寺市,4,O1,81_学校教育,5,159,6,153,129
2,37205_観音寺市,3,O2,O2_教育，学習支援業（その他の教育，学習支援業）,78,323,173,150,228
2,37205_観音寺市,4,O2,82_その他の教育，学習支援業,78,323,173,150,228
2,37205_観音寺市,2,P,P_医療，福祉,173,"3,041",783,"2,258","2,783"
2,37205_観音寺市,4,P,83_医療業,114,"1,764",465,"1,299","1,550"
2,37205_観音寺市,4,P,84_保健衛生,2,4,1,3,2
2,37205_観音寺市,4,P,85_社会保険・社会福祉・介護事業,57,"1,273",317,956,"1,231"
2,37205_観音寺市,2,Q,Q_複合サービス事業,28,391,230,161,388
2,37205_観音寺市,3,Q1,Q1_複合サービス事業（郵便局）,15,251,181,70,248
2,37205_観音寺市,4,Q1,86_郵便局,15,251,181,70,248
2,37205_観音寺市,3,Q2,Q2_複合サービス事業（協同組合）,13,140,49,91,140
2,37205_観音寺市,4,Q2,87_協同組合（他に分類されないもの）,13,140,49,91,140
2,37205_観音寺市,2,R,R_サービス業（他に分類されないもの）,190,"1,208",697,511,982
2,37205_観音寺市,3,R1,R1_サービス業（政治・経済・文化団体，宗教）,94,229,133,96,151
2,37205_観音寺市,4,R1,93_政治・経済・文化団体,28,87,50,37,83
2,37205_観音寺市,4,R1,94_宗教,66,142,83,59,68
2,37205_観音寺市,3,R2,R2_サービス業（政治・経済・文化団体，宗教を除く）,96,979,564,415,831
2,37205_観音寺市,4,R2,88_廃棄物処理業,11,163,126,37,134
2,37205_観音寺市,4,R2,89_自動車整備業,34,124,94,30,82
2,37205_観音寺市,4,R2,90_機械等修理業（別掲を除く）,12,43,32,11,24
2,37205_観音寺市,4,R2,91_職業紹介・労働者派遣業,8,255,64,191,247
2,37205_観音寺市,4,R2,92_その他の事業サービス業,30,393,247,146,344
2,37205_観音寺市,4,R2,95_その他のサービス業,-,-,-,-,-
2,37206_さぬき市,1,AR,AR_全産業（S_公務を除く）,"1,846","16,885","9,571","7,287","14,167"
2,37206_さぬき市,1,AB,AB_農林漁業,46,459,329,130,372
2,37206_さぬき市,2,A,A_農業，林業,40,430,310,120,358
2,37206_さぬき市,4,A,01_農業,39,367,253,114,295
2,37206_さぬき市,4,A,02_林業,1,63,57,6,63
2,37206_さぬき市,2,B,B_漁業,6,29,19,10,14
2,37206_さぬき市,4,B,03_漁業（水産養殖業を除く）,-,-,-,-,-
2,37206_さぬき市,4,B,04_水産養殖業,6,29,19,10,14
2,37206_さぬき市,1,CR,CR_非農林漁業（S_公務を除く）,"1,800","16,426","9,242","7,157","13,795"
2,37206_さぬき市,2,C,C_鉱業，採石業，砂利採取業,-,-,-,-,-
2,37206_さぬき市,4,C,05_鉱業，採石業，砂利採取業,-,-,-,-,-
2,37206_さぬき市,2,D,D_建設業,202,"1,035",837,198,666
2,37206_さぬき市,4,D,06_総合工事業,95,620,503,117,428
2,37206_さぬき市,4,D,07_職別工事業（設備工事業を除く）,73,309,253,56,184
2,37206_さぬき市,4,D,08_設備工事業,34,106,81,25,54
2,37206_さぬき市,2,E,E_製造業,226,"4,976","3,552","1,424","4,510"
2,37206_さぬき市,4,E,09_食料品製造業,33,944,473,471,904
2,37206_さぬき市,4,E,10_飲料・たばこ・飼料製造業,1,7,4,3,6
2,37206_さぬき市,4,E,11_繊維工業,19,164,47,117,113
2,37206_さぬき市,4,E,12_木材・木製品製造業（家具を除く）,10,307,219,88,291
2,37206_さぬき市,4,E,13_家具・装備品製造業,12,59,41,18,38
2,37206_さぬき市,4,E,14_パルプ・紙・紙加工品製造業,1,6,4,2,3
2,37206_さぬき市,4,E,15_印刷・同関連業,10,128,91,37,112
2,37206_さぬき市,4,E,16_化学工業,1,2,2,-,2
2,37206_さぬき市,4,E,17_石油製品・石炭製品製造業,-,-,-,-,-
2,37206_さぬき市,4,E,18_プラスチック製品製造業（別掲を除く）,16,124,68,56,104
2,37206_さぬき市,4,E,19_ゴム製品製造業,2,278,256,22,278
2,37206_さぬき市,4,E,20_なめし革・同製品・毛皮製造業,11,139,50,89,116
2,37206_さぬき市,4,E,21_窯業・土石製品製造業,12,206,175,31,188
2,37206_さぬき市,4,E,22_鉄鋼業,6,194,163,31,173
2,37206_さぬき市,4,E,23_非鉄金属製造業,4,252,171,81,241
2,37206_さぬき市,4,E,24_金属製品製造業,34,348,246,102,281
2,37206_さぬき市,4,E,25_はん用機械器具製造業,9,378,337,41,357
2,37206_さぬき市,4,E,26_生産用機械器具製造業,18,883,823,60,842
2,37206_さぬき市,4,E,27_業務用機械器具製造業,2,76,63,13,73
2,37206_さぬき市,4,E,28_電子部品・デバイス・電子回路製造業,-,-,-,-,-
2,37206_さぬき市,4,E,29_電気機械器具製造業,3,18,15,3,9
2,37206_さぬき市,4,E,30_情報通信機械器具製造業,-,-,-,-,-
2,37206_さぬき市,4,E,31_輸送用機械器具製造業,12,203,179,24,183
2,37206_さぬき市,4,E,32_その他の製造業,10,260,125,135,196
2,37206_さぬき市,2,F,F_電気・ガス・熱供給・水道業,6,19,16,3,12
2,37206_さぬき市,4,F,33_電気業,5,12,9,3,5
2,37206_さぬき市,4,F,34_ガス業,-,-,-,-,-
2,37206_さぬき市,4,F,35_熱供給業,-,-,-,-,-
2,37206_さぬき市,4,F,36_水道業,1,7,7,-,7
2,37206_さぬき市,2,G,G_情報通信業,5,9,6,3,3
2,37206_さぬき市,3,G1,G1_情報通信業（通信業，放送業，映像・音声・文字情報制作業）,1,2,1,1,1
2,37206_さぬき市,4,G1,37_通信業,-,-,-,-,-
2,37206_さぬき市,4,G1,38_放送業,-,-,-,-,-
2,37206_さぬき市,4,G1,41_映像・音声・文字情報制作業,1,2,1,1,1
2,37206_さぬき市,3,G2,G2_情報通信業（情報サービス業，インターネット附随サービス業）,4,7,5,2,2
2,37206_さぬき市,4,G2,39_情報サービス業,3,6,4,2,2
2,37206_さぬき市,4,G2,40_インターネット附随サービス業,1,1,1,-,-
2,37206_さぬき市,2,H,H_運輸業，郵便業,46,899,732,167,841
2,37206_さぬき市,4,H,42_鉄道業,1,5,1,4,5
2,37206_さぬき市,4,H,43_道路旅客運送業,7,145,118,27,129
2,37206_さぬき市,4,H,44_道路貨物運送業,30,679,552,127,639
2,37206_さぬき市,4,H,45_水運業,-,-,-,-,-
2,37206_さぬき市,4,H,46_航空運輸業,-,-,-,-,-
2,37206_さぬき市,4,H,47_倉庫業,3,7,5,2,5
2,37206_さぬき市,4,H,48_運輸に附帯するサービス業,5,63,56,7,63
2,37206_さぬき市,4,H,49_郵便業（信書便事業を含む）,-,-,-,-,-
2,37206_さぬき市,2,I,I_卸売業，小売業,448,"2,754","1,320","1,434","2,168"
2,37206_さぬき市,3,I1,I1_卸売業,77,389,227,162,273
2,37206_さぬき市,4,I1,50_各種商品卸売業,-,-,-,-,-
2,37206_さぬき市,4,I1,51_繊維・衣服等卸売業,3,29,13,16,25
2,37206_さぬき市,4,I1,52_飲食料品卸売業,21,129,68,61,91
2,37206_さぬき市,4,I1,53_建築材料，鉱物・金属材料等卸売業,15,93,62,31,74
2,37206_さぬき市,4,I1,54_機械器具卸売業,15,55,37,18,28
2,37206_さぬき市,4,I1,55_その他の卸売業,23,83,47,36,55
2,37206_さぬき市,3,I2,I2_小売業,371,"2,365","1,093","1,272","1,895"
2,37206_さぬき市,4,I2,56_各種商品小売業,-,-,-,-,-
2,37206_さぬき市,4,I2,57_織物・衣服・身の回り品小売業,34,116,42,74,75
2,37206_さぬき市,4,I2,58_飲食料品小売業,112,"1,216",448,768,"1,058"
2,37206_さぬき市,4,I2,59_機械器具小売業,70,260,171,89,169
2,37206_さぬき市,4,I2,60_その他の小売業,141,721,404,317,566
2,37206_さぬき市,4,I2,61_無店舗小売業,14,52,28,24,27
2,37206_さぬき市,2,J,J_金融業，保険業,22,257,100,157,245
2,37206_さぬき市,4,J,62_銀行業,9,112,45,67,112
2,37206_さぬき市,4,J,63_協同組織金融業,4,31,17,14,31
2,37206_さぬき市,4,J,64_貸金業，クレジットカード業等非預金信用機関,-,-,-,-,-
2,37206_さぬき市,4,J,65_金融商品取引業，商品先物取引業,-,-,-,-,-
2,37206_さぬき市,4,J,66_補助的金融業等,-,-,-,-,-
2,37206_さぬき市,4,J,67_保険業（保険媒介代理業，保険サービス業を含む）,9,114,38,76,102
2,37206_さぬき市,2,K,K_不動産業，物品賃貸業,60,247,131,116,167
2,37206_さぬき市,3,K1,K1_不動産業,53,188,87,101,120
2,37206_さぬき市,4,K1,68_不動産取引業,9,17,11,6,6
2,37206_さぬき市,4,K1,69_不動産賃貸業・管理業,44,171,76,95,114
2,37206_さぬき市,3,K2,K2_物品賃貸業,7,59,44,15,47
2,37206_さぬき市,4,K2,70_物品賃貸業,7,59,44,15,47
2,37206_さぬき市,2,L,L_学術研究，専門・技術サービス業,58,225,134,91,146
2,37206_さぬき市,4,L,71_学術・開発研究機関,-,-,-,-,-
2,37206_さぬき市,4,L,72_専門サービス業（他に分類されないもの）,25,116,63,53,79
2,37206_さぬき市,4,L,73_広告業,-,-,-,-,-
2,37206_さぬき市,4,L,74_技術サービス業（他に分類されないもの）,33,109,71,38,67
2,37206_さぬき市,2,M,M_宿泊業，飲食サービス業,178,916,349,540,676
2,37206_さぬき市,3,M1,M1_宿泊業,16,100,40,60,72
2,37206_さぬき市,4,M1,75_宿泊業,16,100,40,60,72
2,37206_さぬき市,3,M2,M2_飲食店，持ち帰り・配達飲食サービス業,162,816,309,480,604
2,37206_さぬき市,4,M2,76_飲食店,142,695,269,400,494
2,37206_さぬき市,4,M2,77_持ち帰り・配達飲食サービス業,20,121,40,80,110
2,37206_さぬき市,2,N,N_生活関連サービス業，娯楽業,159,612,258,354,432
2,37206_さぬき市,4,N,78_洗濯・理容・美容・浴場業,130,329,110,219,186
2,37206_さぬき市,4,N,79_その他の生活関連サービス業,14,81,30,51,60
2,37206_さぬき市,4,N,80_娯楽業,15,202,118,84,186
2,37206_さぬき市,2,O,O_教育，学習支援業,55,575,254,321,526
2,37206_さぬき市,3,O1,O1_教育，学習支援業（学校教育）,8,418,200,218,417
