令和３年経済センサス‐活動調査　事業所に関する集計－産業横断的集計－事業所数、従業者数,,,,,,,,,
第６－１表　産業(中分類)別民営事業所数、男女別従業者数、常用雇用者数、出向・派遣従業者数及び事業従事者数－全国、都道府県、市区町村,,,,,,,,,
,,,,,,,,,
1) 「従業者数_男女計」など、男女計の人数には男女の別「不詳」を含む,,,,,,,,,
2) 他からの出向・派遣従業者数：出向・派遣の別「不詳」を含む,,,,,,,,,
3) 事業従事者数＝「従業者数」－「うち他への出向・派遣従業者数」＋「他からの出向・派遣従業者数」,,,,,,,,,
,,,,,事業所数,従業者数_男女計,従業者数_男,従業者数_女,従業者数_うち常用雇用者_男女計
,,,,,(事業所),(人),(人),(人),(人)
地域識別コード,地域区分,階層,産業大分類,産業中分類, ,,,,
2,35201_下関市,4,I2,58_飲食料品小売業,767,"7,939","2,425","4,788","6,966"
2,35201_下関市,4,I2,59_機械器具小売業,326,"2,094","1,519",547,"1,737"
2,35201_下関市,4,I2,60_その他の小売業,833,"5,003","2,467","2,493","4,229"
2,35201_下関市,4,I2,61_無店舗小売業,95,623,354,263,514
2,35201_下関市,2,J,J_金融業，保険業,227,"2,826","1,228","1,554","2,665"
2,35201_下関市,4,J,62_銀行業,39,745,453,292,743
2,35201_下関市,4,J,63_協同組織金融業,33,426,258,168,419
2,35201_下関市,4,J,64_貸金業，クレジットカード業等非預金信用機関,13,89,50,39,67
2,35201_下関市,4,J,65_金融商品取引業，商品先物取引業,15,121,88,33,99
2,35201_下関市,4,J,66_補助的金融業等,9,44,28,16,37
2,35201_下関市,4,J,67_保険業（保険媒介代理業，保険サービス業を含む）,118,"1,401",351,"1,006","1,300"
2,35201_下関市,2,K,K_不動産業，物品賃貸業,763,"2,685","1,497","1,188","1,587"
2,35201_下関市,3,K1,K1_不動産業,699,"2,255","1,203","1,052","1,206"
2,35201_下関市,4,K1,68_不動産取引業,96,535,325,210,385
2,35201_下関市,4,K1,69_不動産賃貸業・管理業,603,"1,720",878,842,821
2,35201_下関市,3,K2,K2_物品賃貸業,64,430,294,136,381
2,35201_下関市,4,K2,70_物品賃貸業,64,430,294,136,381
2,35201_下関市,2,L,L_学術研究，専門・技術サービス業,416,"3,102","1,898","1,204","2,573"
2,35201_下関市,4,L,71_学術・開発研究機関,7,30,25,5,29
2,35201_下関市,4,L,72_専門サービス業（他に分類されないもの）,228,"2,257","1,305",952,"1,932"
2,35201_下関市,4,L,73_広告業,12,51,34,17,47
2,35201_下関市,4,L,74_技術サービス業（他に分類されないもの）,169,764,534,230,565
2,35201_下関市,2,M,M_宿泊業，飲食サービス業,"1,266","8,792","3,229","5,481","7,226"
2,35201_下関市,3,M1,M1_宿泊業,77,"1,227",504,723,"1,089"
2,35201_下関市,4,M1,75_宿泊業,77,"1,227",504,723,"1,089"
2,35201_下関市,3,M2,M2_飲食店，持ち帰り・配達飲食サービス業,"1,189","7,565","2,725","4,758","6,137"
2,35201_下関市,4,M2,76_飲食店,"1,056","6,373","2,378","3,919","5,022"
2,35201_下関市,4,M2,77_持ち帰り・配達飲食サービス業,133,"1,192",347,839,"1,115"
2,35201_下関市,2,N,N_生活関連サービス業，娯楽業,993,"4,197","1,805","2,392","3,096"
2,35201_下関市,4,N,78_洗濯・理容・美容・浴場業,770,"2,101",695,"1,406","1,277"
2,35201_下関市,4,N,79_その他の生活関連サービス業,118,787,382,405,630
2,35201_下関市,4,N,80_娯楽業,105,"1,309",728,581,"1,189"
2,35201_下関市,2,O,O_教育，学習支援業,328,"2,883","1,261","1,622","2,421"
2,35201_下関市,3,O1,O1_教育，学習支援業（学校教育）,45,"1,716",755,961,"1,545"
2,35201_下関市,4,O1,81_学校教育,45,"1,716",755,961,"1,545"
2,35201_下関市,3,O2,O2_教育，学習支援業（その他の教育，学習支援業）,283,"1,167",506,661,876
2,35201_下関市,4,O2,82_その他の教育，学習支援業,283,"1,167",506,661,876
2,35201_下関市,2,P,P_医療，福祉,"1,070","19,779","4,652","13,303","18,054"
2,35201_下関市,4,P,83_医療業,579,"10,939","2,388","6,933","9,735"
2,35201_下関市,4,P,84_保健衛生,5,34,5,6,30
2,35201_下関市,4,P,85_社会保険・社会福祉・介護事業,486,"8,806","2,259","6,364","8,289"
2,35201_下関市,2,Q,Q_複合サービス事業,117,880,458,422,820
2,35201_下関市,3,Q1,Q1_複合サービス事業（郵便局）,67,495,273,222,487
2,35201_下関市,4,Q1,86_郵便局,67,495,273,222,487
2,35201_下関市,3,Q2,Q2_複合サービス事業（協同組合）,50,385,185,200,333
2,35201_下関市,4,Q2,87_協同組合（他に分類されないもの）,50,385,185,200,333
2,35201_下関市,2,R,R_サービス業（他に分類されないもの）,864,"7,260","4,297","2,959","5,999"
2,35201_下関市,3,R1,R1_サービス業（政治・経済・文化団体，宗教）,452,"1,086",626,456,676
2,35201_下関市,4,R1,93_政治・経済・文化団体,117,344,176,164,265
2,35201_下関市,4,R1,94_宗教,335,742,450,292,411
2,35201_下関市,3,R2,R2_サービス業（政治・経済・文化団体，宗教を除く）,412,"6,174","3,671","2,503","5,323"
2,35201_下関市,4,R2,88_廃棄物処理業,64,704,569,135,598
2,35201_下関市,4,R2,89_自動車整備業,78,302,237,65,195
2,35201_下関市,4,R2,90_機械等修理業（別掲を除く）,78,484,396,88,402
2,35201_下関市,4,R2,91_職業紹介・労働者派遣業,34,945,454,491,736
2,35201_下関市,4,R2,92_その他の事業サービス業,150,"3,657","1,978","1,679","3,314"
2,35201_下関市,4,R2,95_その他のサービス業,8,82,37,45,78
2,35202_宇部市,1,AR,AR_全産業（S_公務を除く）,"6,231","69,884","37,174","32,306","61,333"
2,35202_宇部市,1,AB,AB_農林漁業,27,280,241,39,160
2,35202_宇部市,2,A,A_農業，林業,26,269,231,38,154
2,35202_宇部市,4,A,01_農業,23,236,210,26,126
2,35202_宇部市,4,A,02_林業,3,33,21,12,28
2,35202_宇部市,2,B,B_漁業,1,11,10,1,6
2,35202_宇部市,4,B,03_漁業（水産養殖業を除く）,-,-,-,-,-
2,35202_宇部市,4,B,04_水産養殖業,1,11,10,1,6
2,35202_宇部市,1,CR,CR_非農林漁業（S_公務を除く）,"6,204","69,604","36,933","32,267","61,173"
2,35202_宇部市,2,C,C_鉱業，採石業，砂利採取業,1,1,1,-,1
2,35202_宇部市,4,C,05_鉱業，採石業，砂利採取業,1,1,1,-,1
2,35202_宇部市,2,D,D_建設業,693,"5,313","4,300","1,007","4,064"
2,35202_宇部市,4,D,06_総合工事業,263,"2,013","1,592",415,"1,514"
2,35202_宇部市,4,D,07_職別工事業（設備工事業を除く）,207,"1,277","1,027",250,914
2,35202_宇部市,4,D,08_設備工事業,223,"2,023","1,681",342,"1,636"
2,35202_宇部市,2,E,E_製造業,335,"10,896","8,527","2,369","10,251"
2,35202_宇部市,4,E,09_食料品製造業,29,798,338,460,728
